,name,symbol,date_added,cmc_rank,usd_price,volume_change_24h,percent_change_24h
0,Bitcoin,BTC,2013-04-28T00:00:00.000Z,1,45099.45007546433,10.5073,2.88709731
1,Ethereum,ETH,2015-08-07T00:00:00.000Z,2,3202.9034851858514,21.2736,0.62804915
2,Tether,USDT,2015-02-25T00:00:00.000Z,3,1.0007068198195892,26.0585,0.00648752
3,BNB,BNB,2017-07-25T00:00:00.000Z,4,426.469329737153,1.2129,0.72612633
4,USD Coin,USDC,2018-10-08T00:00:00.000Z,5,0.999733295893091,22.1645,-0.03746949
5,XRP,XRP,2013-08-04T00:00:00.000Z,6,0.8657851608335762,-8.3051,-2.12098761
6,Cardano,ADA,2017-10-01T00:00:00.000Z,7,1.1958708737313786,20.642,0.05773183
7,Solana,SOL,2020-04-10T00:00:00.000Z,8,112.17885906488367,20.9507,-1.32113493
8,Avalanche,AVAX,2020-07-13T00:00:00.000Z,9,92.51746476791702,9.4222,3.05641667
9,Terra,LUNA,2019-07-26T00:00:00.000Z,10,56.44004507747075,23.0431,-0.81480243
